_id,id,name,start_neighborhood,end_neighborhood,built,year_rehab,image,neighborhood,council_district,ward,tract,public_works_division,pli_division,police_zone,fire_zone,latitude,longitude
47,252038884,Englert Street Pedestrian Bridge,Overbrook,,1938,1986,https://tools.wprdc.org/images/pittsburgh/bridges/Englert_Street_Pedestrian_Bridge.jpg,Overbrook,4,32,42003320700,4,32,3,4-25,40.38780769,-79.99681007
18,837715899,Bridle Trail Bridge 1,Squirrel Hill South,,1939,1939,https://tools.wprdc.org/images/pittsburgh/bridges/Bridle_Trail_Bridge_1.jpg,Squirrel Hill South,5,14,42003980500,3,14,4,2-8,40.43308439,-79.94758413
6,265798676,Anderson Playground Walkway,Squirrel Hill South,,1939,1939,https://tools.wprdc.org/images/pittsburgh/bridges/Anderson_Playground_Walkway.jpg,Squirrel Hill South,5,14,42003980500,3,14,4,2-8,40.43505617,-79.94735465
19,2096249888,Bridle Trail Bridge 2,Squirrel Hill South,,1939,1939,https://tools.wprdc.org/images/pittsburgh/bridges/Bridle_Trail_Bridge_2.jpg,Squirrel Hill South,5,14,42003980500,3,14,4,2-8,40.43150378,-79.94845236
74,1622965510,Lower Panther Hollow Trail Bridge 1,Squirrel Hill South,,1939,1939,https://tools.wprdc.org/images/pittsburgh/bridges/Lower_Panther_Hollow_Trail_Bridge_1.jpg,Squirrel Hill South,5,14,42003980500,3,14,4,2-8,40.43801633,-79.94559983
75,2078542034,Lower Panther Hollow Trail Bridge 2,Squirrel Hill South,,1939,1939,https://tools.wprdc.org/images/pittsburgh/bridges/Lower_Panther_Hollow_Trail_Bridge_2.jpg,Squirrel Hill South,5,14,42003980500,3,14,4,2-8,40.43582786,-79.94272585
76,767193435,Lower Panther Hollow Trail Bridge 3,Squirrel Hill South,,1939,1939,https://tools.wprdc.org/images/pittsburgh/bridges/Lower_Panther_Hollow_Trail_Bridge_3.jpg,Squirrel Hill South,5,14,42003980500,3,14,4,2-8,40.43545222,-79.94122247
77,1231449765,Lower Panther Hollow Trail Bridge 4,Squirrel Hill South,,1939,1939,https://tools.wprdc.org/images/pittsburgh/bridges/Lower_Panther_Hollow_Trail_Bridge_4.jpg,Squirrel Hill South,5,14,42003980500,3,14,4,2-8,40.43394168,-79.93566963
85,454627966,Mission Street Bridge East,Southside Slopes,,1939,1982,https://tools.wprdc.org/images/pittsburgh/bridges/Mission_Street_Bridge_East.jpg,South Side Slopes,3,16,42003160800,4,16,3,4-24,40.42322387,-79.97430901
86,14311106,Mission Street Bridge West,Southside Slopes,,1939,1982,https://tools.wprdc.org/images/pittsburgh/bridges/Mission_Street_Bridge_West.jpg,South Side Slopes,3,17,42003170600,4,17,3,4-24,40.42357508,-79.97677262
