_id,id,name,street,to_street,year_constructed,public_view,inactive,height,length,image,neighborhood,council_district,ward,tract,public_works_division,pli_division,police_zone,fire_zone,latitude,longitude
371,179908880,Townsend Park,CHARTIERS AVE,,,True,False,,215.0,https://tools.wprdc.org/images/pittsburgh/retaining_walls/Townsend_Park.jpg,Elliott,2,20,42003562600,5,20,6,1-17,40.44312448,-80.03992054
372,27608298,Troy Hill Rd,TROY HILL RD,,1930,True,False,3.0,1000.0,,Troy Hill,1,24,42003240600,1,24,1,1-2,40.45919619,-79.98633868
166,220926934,Grandview 3,GRANDVIEW AVE,AUGUSTA ST,,True,False,,820.0,,Duquesne Heights,2,19,42003191100,5,19,3,4-1,40.44051955,-80.0232321
373,618224834,Troy Hill Rd from Province St,TROY HILL RD,,1939,True,False,12.0,150.0,https://tools.wprdc.org/images/pittsburgh/retaining_walls/Troy_Hill_Rd_from_Province_St.jpg,Troy Hill,1,24,42003240600,1,24,1,1-2,40.45750667,-79.98961234
374,1527384124,Tunstall St,TUNSTALL ST,,1985,True,False,8.0,122.5,https://tools.wprdc.org/images/pittsburgh/retaining_walls/Tunstall_St.jpg,Greenfield,5,15,42003151600,3,15,4,2-12,40.42534167,-79.94885216
375,43810455,Twain St,TWAIN ST,MCKEEVER AVE,1920,True,False,2.5,155.0,https://tools.wprdc.org/images/pittsburgh/retaining_walls/Twain_St.jpg,Perry South,6,26,42003261500,1,26,1,1-12,40.46755103,-80.02202027
376,1217999779,Upper Frick Park,,,,True,False,,55.0,https://tools.wprdc.org/images/pittsburgh/retaining_walls/Upper_Frick_Park.jpg,Point Breeze,9,14,42003981100,3,14,4,3-14,40.44524923,-79.90174009
377,500575235,Vandalia St,VANDALIA ST,,1969,True,False,9.0,305.0,https://tools.wprdc.org/images/pittsburgh/retaining_walls/Vandalia_St.jpg,Beltzhoover,4,18,42003562400,4,18,3,4-21,40.41354567,-79.99842097
378,870501259,Vanucci Park,ORANGEWOOD AVE,,,True,False,,70.0,https://tools.wprdc.org/images/pittsburgh/retaining_walls/Vanucci_Park.jpg,Beechview,4,19,42003191600,5,19,6,4-28,40.41458048,-80.01853994
40,839651819,Baker St 2,BAKER ST,,1964,True,False,12.0,82.0,https://tools.wprdc.org/images/pittsburgh/retaining_walls/Baker_St_2.jpg,Stanton Heights,7,10,42003101800,2,10,5,3-7,40.48908859,-79.93344119
